timestep,hour,outdoor_temp_c,avg_zone_temp_c,pmv,ppd_percent,energy_kwh,hvac_kw,run_type
1,8.5,28.6,22.2,-0.651,13.9,0.6458,0.1,baseline
2,9.0,28.84,22.39,-0.591,12.3,1.3064,0.195,baseline
3,9.5,30.76,22.58,-0.532,10.9,2.0821,0.29,baseline
4,10.0,30.88,22.8,-0.466,9.5,2.8649,0.4,baseline
5,10.5,31.45,23.06,-0.388,8.1,3.682,0.53,baseline
6,11.0,30.74,22.94,-0.424,8.7,4.4561,0.47,baseline
7,11.5,32.39,23.03,-0.397,8.3,5.3293,0.515,baseline
8,12.0,31.71,23.2,-0.346,7.5,6.1617,0.6,baseline
9,12.5,31.29,23.11,-0.373,7.9,6.969,0.555,baseline
10,13.0,30.93,23.26,-0.328,7.2,7.755,0.63,baseline
11,13.5,30.25,23.16,-0.358,7.7,8.5002,0.58,baseline
12,14.0,30.54,23.28,-0.322,7.2,9.2625,0.64,baseline
13,14.5,30.88,23.47,-0.265,6.5,10.045,0.735,baseline
14,15.0,28.69,23.31,-0.313,7.0,10.6962,0.655,baseline
15,15.5,27.42,23.2,-0.346,7.5,11.2716,0.6,baseline
16,16.0,27.92,23.08,-0.382,8.0,11.877,0.54,baseline
17,16.5,26.45,22.98,-0.412,8.5,12.3939,0.49,baseline
18,17.0,25.43,22.97,-0.415,8.6,12.8498,0.485,baseline
19,17.5,23.22,22.54,-0.544,11.2,13.1731,0.27,baseline
20,18.0,22.1,22.22,-0.645,13.7,13.4288,0.11,baseline
