timestep,hour,outdoor_temp_c,avg_zone_temp_c,pmv,ppd_percent,comfort_ok,energy_kwh,hvac_kw,reasoning,energy_strategy,expected_pmv,latency_ms,status,run_type
1,8.5,27.51,22.29,-0.623,13.1,False,0.5806,0.145,Rule: setpoint -> 23.0C,Drift toward outdoor temp within comfort bounds,-0.623,0,ok,rule
2,9.0,30.06,22.97,-0.415,8.6,True,1.2539,0.015,Rule: setpoint -> 23.7C,Drift toward outdoor temp within comfort bounds,-0.415,0,ok,rule
3,9.5,30.41,23.67,-0.205,5.9,True,1.9064,0.015,Rule: setpoint -> 24.4C,Drift toward outdoor temp within comfort bounds,-0.205,0,ok,rule
4,10.0,30.28,24.24,-0.032,5.0,True,2.5093,0.08,Rule: setpoint -> 25.0C,Drift toward outdoor temp within comfort bounds,-0.032,0,ok,rule
5,10.5,30.6,24.93,0.178,5.7,True,3.095,0.035,Rule: setpoint -> 25.6C,Drift toward outdoor temp within comfort bounds,0.178,0,ok,rule
6,11.0,31.56,25.5,0.352,7.6,True,3.7025,0.05,Rule: setpoint -> 26.0C,Drift toward outdoor temp within comfort bounds,0.352,0,ok,rule
7,11.5,32.44,25.88,0.469,9.6,True,4.3389,0.06,Rule: setpoint -> 26.0C,Drift toward outdoor temp within comfort bounds,0.469,0,ok,rule
8,12.0,32.75,26.09,0.534,11.0,False,4.9942,0.045,Rule: setpoint -> 25.0C,Drift toward outdoor temp within comfort bounds,0.534,0,ok,rule
9,12.5,31.35,25.86,0.463,9.5,True,5.6253,0.43,Rule: setpoint -> 25.6C,Drift toward outdoor temp within comfort bounds,0.463,0,ok,rule
10,13.0,31.62,25.9,0.475,9.7,True,6.2366,0.15,Rule: setpoint -> 26.0C,Drift toward outdoor temp within comfort bounds,0.475,0,ok,rule
11,13.5,31.61,26.07,0.528,10.8,False,6.8232,0.035,Rule: setpoint -> 25.0C,Drift toward outdoor temp within comfort bounds,0.528,0,ok,rule
12,14.0,31.64,25.98,0.5,10.2,True,7.4718,0.49,Rule: setpoint -> 25.7C,Drift toward outdoor temp within comfort bounds,0.5,0,ok,rule
13,14.5,30.07,25.93,0.485,9.9,True,7.984,0.115,Rule: setpoint -> 26.0C,Drift toward outdoor temp within comfort bounds,0.485,0,ok,rule
14,15.0,29.87,26.29,0.596,12.4,False,8.4661,0.145,Rule: setpoint -> 25.0C,Drift toward outdoor temp within comfort bounds,0.596,0,ok,rule
15,15.5,28.24,26.0,0.506,10.4,False,8.9107,0.5,Rule: setpoint -> 24.0C,Drift toward outdoor temp within comfort bounds,0.506,0,ok,rule
16,16.0,26.28,25.52,0.359,7.7,True,9.2977,0.76,Rule: setpoint -> 24.2C,Drift toward outdoor temp within comfort bounds,0.359,0,ok,rule
17,16.5,25.68,25.25,0.276,6.6,True,9.6363,0.525,Rule: setpoint -> 24.3C,Drift toward outdoor temp within comfort bounds,0.276,0,ok,rule
18,17.0,25.0,25.0,0.199,5.8,True,9.9283,0.35,Rule: setpoint -> 24.4C,Drift toward outdoor temp within comfort bounds,0.199,0,ok,rule
19,17.5,23.49,24.76,0.126,5.3,True,10.2328,0.18,Rule: setpoint -> 24.3C,Drift toward outdoor temp within comfort bounds,0.126,0,ok,rule
20,18.0,21.17,24.4,0.016,5.0,True,10.6707,0.05,Rule: setpoint -> 24.0C,Drift toward outdoor temp within comfort bounds,0.016,0,ok,rule
