Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,12297200222.18794,11223810000.0,7121250000.0,1012598621.2189697,60791600.9687145,15319669141.605392,15319669141.605392,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
February,10852201361.824339,9883800000.0,6226200000.0,914601599.9035621,53799761.92056478,12103440704.552132,12103440704.552132,,,,,,,,6226200000.0,,9883800000.0,,3657600000.0 
March,11784006350.957756,10568070000.0,6589350000.0,1023186212.488216,192750138.46922672,6645123800.117298,6645123800.117298,,,,,,,,6589350000.0,,10568070000.0,,3978720000.0 
April,12479527011.060831,10777140000.0,6822900000.0,446391808.5486147,1255995202.5122497,3497225141.4934587,3497225141.4934587,,,,,,,,6822900000.0,,10777140000.0,,3954240000.0 
May,13779339150.346537,11223810000.0,7121250000.0,484885639.8165437,2070643510.529999,1800501355.3442183,1800501355.3442183,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
June,13512087266.609615,10121400000.0,6291000000.0,448111680.32778776,2942575586.2818346,845210999.2420307,845210999.2420307,,,,,,,,6291000000.0,,10121400000.0,,3830400000.0 
July,16686790003.76565,11223810000.0,7121250000.0,537341574.8267316,4925638428.938935,837684326.8459746,837684326.8459746,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
August,15038896341.240398,10895940000.0,6855300000.0,491955707.95903486,3651000633.2813644,1005436761.9078896,1005436761.9078896,,,,,,,,6855300000.0,,10895940000.0,,4040640000.0 
September,13320734900.201847,10449270000.0,6556950000.0,454626964.1404685,2416837936.0613794,1448489881.5735836,1448489881.5735836,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
October,13177131126.261873,11223810000.0,7121250000.0,1065635994.7800227,887685131.4814843,3168099784.195872,3168099784.195872,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
November,11749457416.199188,10449270000.0,6556950000.0,985935272.9559175,314252143.243006,7832991391.082075,7832991391.082075,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
December,11954215864.956785,10895940000.0,6855300000.0,1012870638.0886234,45405226.867938735,14047633327.203836,14047633327.203836,156631587015.63504,128936070000.0,81238950000.0,8878141715.057018,18817375300.556835,68551506615.16396,68551506615.16396,6855300000.0,81238950000.0,10895940000.0,128936070000.0,4040640000.0,47697120000.0 
